phase,task
面試前,提前 10–15 分鐘到（不是剛好）
面試前,查過公司作品 / 產品 / 近期動態
面試前,準備好 1 分鐘自我介紹
面試前,作品集順過一次（不是第一次看）
面試前,想好 2–3 個「反問問題」
面試前,衣服乾淨、不皺
面試前,鞋子乾淨（很多人忽略）
面試前,頭髮整齊（不是剛睡醒）
面試前,包包整齊（拿東西不狼狽）
面試前,手機靜音
面試前,把面試當「交流」，不是考試
面試前,準備好被質疑（而不是被稱讚）
面試前,記得：你也在選公司
等待時,坐姿端正（不要癱）
等待時,不滑娛樂型內容（IG / 抖音 ）
等待時,可以看資料 / 筆記
等待時,不發呆、不東張西望
等待時,對櫃檯 / 工作人員有禮貌
進入面試,敲門或確認後再進入
進入面試,進門有眼神 + 簡單問候
進入面試,視情況輕關門或詢問
進入面試,坐下前等指示或示意
進入面試,坐姿穩（不縮、不躺）
面試過程,回答有結構（不要亂講）
面試過程,講完一句會停 1 秒
面試過程,少用「嗯、然後、就是」
面試過程,不搶話、不打斷
面試過程,聽不懂會確認（不是亂答）
面試過程,有針對問題回答（不偏題）
面試過程,被挑戰時不防衛
面試過程,願意承認不知道
面試過程,展現「可以學」而不是「我都會」
面試過程,講「決策」而不是只講「結果」
面試過程,有提到限制與取捨（Trade-off）
面試過程,嘗試用數據或具體描述
互動與氣場,有自然眼神交流
互動與氣場,不過度討好（一直點頭）
互動與氣場,有自己的觀點（不是全部迎合）
互動與氣場,氣氛像「合作討論」而不是「被審問」
結尾與離開,有提出 1–2 個好問題
結尾與離開,結尾有完整一句話收（不是直接結束）
結尾與離開,有說出建議句：「謝謝今天的時間，很高興有機會交流」
結尾與離開,收東西不慌亂
結尾與離開,起身有禮貌點頭或致意
結尾與離開,輕聲離開（門不要甩）
面試後,當天或隔天寄感謝信（加分）
面試後,簡單回顧：哪裡答不好
面試後,記錄被問到的問題（下次會更強）
